symbol,censor_rate,alpha_gap,floor_binds
KAPCO,0.020100502512562814,0.01836132792713449,0.0
KEL,0.0,0.0,1.0
KHTC,0.12569832402234637,0.1767072984395125,0.0
KOHC,0.09547738693467336,0.09232494763707327,0.0
KOIL,0.005208333333333333,0.012795162072235633,1.0
KOSM,0.0,3.393757275205189e-08,1.0
KTML,0.0945945945945946,0.029425550672218553,0.008108108108108109
LCI,0.01282051282051282,0.003838568349228147,0.0
LOADS,0.085,0.05162996600609837,0.505
LOTCHEM,0.03015075376884422,0.09952041690322944,1.0
LPL,0.013368983957219251,0.012343197526504562,1.0
LUCK,0.035,0.049946620372538775,0.0
MARI,0.017587939698492462,0.022979803984864655,0.0
MCB,0.01,0.006726376441224202,0.0
MDTL,0.0,0.0,1.0
MEBL,0.01507537688442211,0.15563678011359589,0.0
MERIT,0.08142493638676845,0.10848652110384988,0.31806615776081426
MFL,0.0725,0.007942308279254767,0.0
MLCF,0.15037593984962405,0.10706586230581,0.2075
MTL,0.020100502512562814,0.03200135177031155,0.0
MUGHAL,0.1175,0.04420555528531017,0.015
NATF,0.055248618784530384,0.02513783003736053,0.0
NBP,0.0425,0.030912187986160744,0.0
NCL,0.045112781954887216,0.02011008528153982,0.0
NCPL,0.040100250626566414,0.008547763707239864,0.48
NETSOL,0.18045112781954886,0.037793832150696205,0.0
NML,0.035,-0.0005469344796384945,0.0
NPL,0.021220159151193633,0.0016048098243895692,0.0
NRL,0.13784461152882205,0.022760889660002004,0.0
NRSL,0.0175,-0.005372816958949755,1.0
OGDC,0.005,0.007659888811357873,0.0
OLPL,0.023316062176165803,0.04950287027880737,0.0
PACE,0.0,3.313018208384033e-08,1.0
PAEL,0.1075,0.060192517998368444,0.215
PAKRI,0.034574468085106384,0.025272423158133828,0.07957559681697612
PASL,0.0,0.0,1.0
PIAHCLA,0.01,0.016590682080898395,1.0
PIBTL,0.0175,0.009768052905330532,1.0
PICT,0.06232294617563739,0.15473597649915655,0.0
PIL,0.0,0.0,1.0
PIOC,0.16541353383458646,0.13852980132842735,0.0625
PKGP,0.023195876288659795,0.03523560512135507,1.0
PKGS,0.05037783375314862,0.0963388004602827,0.0
PNSC,0.04871794871794872,-0.002310179667194226,0.0
POL,0.01507537688442211,0.006094874373661852,0.0
POWER,0.0025,0.0032260118899392065,1.0
PPL,0.022613065326633167,0.022637766016709554,0.0
PREMA,0.12256267409470752,0.07189412049419289,0.4444444444444444
PRL,0.1075,0.0813087582650836,0.3375
PSMC,0.2275,0.164706470677285,0.0
PSO,0.04030226700251889,0.028575983347979172,0.0
PSX,0.0675,0.06962392752364194,0.93
PTC,0.0,-5.140733505548667e-09,1.0
QTECH,0.0,-2.9108815705058966e-08,1.0
QUICE,0.0,5.5809794119454637e-08,1.0
RPL,0.08270676691729323,0.08558306695462531,0.4725
SAZEW,0.06685236768802229,0.11732578694740697,0.0
SEARL,0.09022556390977443,0.08445566193423792,0.0
SERF,0.008264462809917356,0.007901001122240625,1.0
SHEL,0.05,0.07540429882047583,0.0
SILK,0.0,-6.55344817301895e-09,1.0
SKRS,0.2,0.2465127710658504,0.5757575757575758
SMBL,0.0,0.0,1.0
SNGP,0.07518796992481203,0.060890560690312096,0.0
SPEL,0.13802816901408452,0.035166696513132895,0.16056338028169015
SPL,0.1675,0.11278742968738055,0.46
SPWL,0.021447721179624665,0.05371048012860791,0.2906666666666667
SRVI,0.06424581005586592,0.06994529528932975,0.0
SSGC,0.085,0.08200891005238736,0.3125
STCL,0.06766917293233082,0.01507318193382931,0.8375
STPL,0.0675,0.05728465574593403,0.865
SYS,0.02284263959390863,0.026793106931361027,0.0
TCORP,0.10511363636363637,0.032675053993152015,0.5750708215297451
TELE,0.0,-1.2769438617610263e-08,1.0
TGL,0.06516290726817042,0.08568083059629295,0.0
