symbol,censor_rate,alpha_gap,floor_binds
FEROZ,0.12911084043848964,0.031333730564518464,0.0
FFBL,0.05481120584652863,0.011786028740040644,0.1510353227771011
FFC,0.010962241169305725,0.009495655662140862,0.0
FFL,0.1573170731707317,0.12491519455289335,0.29598051157125455
FLYNG,0.09350649350649351,0.0994608496370904,0.8831168831168831
FML,0.06510416666666667,0.06273058431459126,0.0
FNEL,0.08300395256916997,0.059259956182894286,0.9657444005270093
FRCL,0.23809523809523808,0.10322669814072974,0.7272727272727273
FRSM,0.10588235294117647,0.1334759532968205,0.0
FZCM,0.15565031982942432,0.025304763045821743,0.0
GADT,0.06056338028169014,0.07483648327337933,0.0
GAIL,0.02192448233861145,0.002819856982556157,1.0
GAL,0.15995115995115994,0.076778162752527,0.0
GAMON,0.22795341098169716,0.08157528871939491,0.5457570715474209
GATI,0.1815856777493606,0.01972735514848853,0.0
GATM,0.03902439024390244,0.007577109533722717,0.0
GFIL,0.0361247947454844,-0.000991768884192043,1.0
GGGL,0.044226044226044224,0.009030261915394647,0.7653562653562653
GGL,0.07560975609756097,0.07227865621824853,0.6492082825822169
GHGL,0.03198031980319803,0.038575532871923446,0.0
GHNI,0.14163614163614163,0.09257728051626368,0.0
GLAXO,0.046341463414634146,0.026452376403404615,0.0
GRYL,0.10810810810810811,0.08176109982992946,1.0
GSKCH,0.10334788937409024,0.09708255011878192,0.0
GTYR,0.1090686274509804,0.11726394458676836,0.0
GVGL,0.11891117478510028,0.1406174761997166,0.06258890469416785
GWLC,0.05982905982905983,0.06576417352838185,0.4268292682926829
HABSM,0.05329593267882188,0.06071112281662849,0.0
HAEL,0.08490566037735849,0.03931727987334124,1.0
HAL,0.18846153846153846,0.18939098477206956,0.07485604606525911
HASCOL,0.14058679706601468,0.08830529377233501,0.001218026796589525
HBL,0.028014616321559074,0.06633751989491099,0.0
HCAR,0.12454212454212454,0.056770901244985184,0.0
HICL,0.014953271028037384,0.032444298695076396,0.996268656716418
HINO,0.08310626702997276,0.09880627431449246,0.0
HINOON,0.04433497536945813,0.03156496644532192,0.0
HIRAT,0.014723926380368098,0.000601419308154813,1.0
HMB,0.01,0.02203398770164411,0.0
