symbol,censor_rate,alpha_gap,floor_binds
DGKC,0.012867647058823529,0.008800101776172936,0.0
DIIL,0.05952380952380952,0.0819961865081219,0.0
DINT,0.04697986577181208,0.035764447438469904,0.0
DLL,0.020522388059701493,0.05656229529169868,0.0
DNCC,0.0335195530726257,0.053554713925971775,0.0
DOL,0.009242144177449169,0.0113371869886012,0.0
DSIL,0.06066176470588235,0.06863009465576009,0.7150735294117647
DSL,0.001838235294117647,-0.00036477432667501863,0.9889705882352942
DWAE,0.10110294117647059,0.17699205963861286,0.0
DWSM,0.016544117647058824,0.010900356274359702,1.0
DWTM,0.02819548872180451,0.01581471699191639,0.9078947368421053
DYNO,0.007352941176470588,0.018770091105118736,0.0
ECOP,0.058823529411764705,0.05184824115236769,0.0
EFERT,0.001838235294117647,0.0056331818685450286,0.0
EFUG,0.0018450184501845018,-0.0014487717945617373,0.0
EFUL,0.0,7.025649914615961e-08,0.0
ELCM,0.05605381165919283,0.0713540086598145,0.0
ELSM,0.022935779816513763,0.04731036871619554,0.0
EMCO,0.07212475633528265,0.12459099876335,0.0
ENGROH,0.014732965009208104,0.006824337529073313,0.0
EPCL,0.009191176470588236,0.012095096785636472,0.0
EPQL,0.005535055350553505,0.016688143471371264,0.0
ESBL,0.06666666666666667,0.08358165192551253,0.6037037037037037
EXIDE,0.016544117647058824,0.01863869476973773,0.0
FABL,0.012867647058823529,0.007960810705106736,0.0
FASM,0.023060796645702306,0.005233432816512423,0.0
FATIMA,0.007352941176470588,0.0025058342788199517,0.0
FCCL,0.009191176470588236,0.006687409537305039,0.0
FCEL,0.02575107296137339,0.008057387516940934,1.0
FCEPL,0.02389705882352941,0.0051483133318484114,0.0
FCIBL,0.15461847389558234,0.3397300469063096,0.3654618473895582
FCL,0.012867647058823529,-0.004494671641017814,0.0
FCSC,0.022058823529411766,0.06561470648845869,0.9981617647058824
FDPL,0.012867647058823529,0.0013593099628134847,1.0
FECTC,0.07536764705882353,0.09621231798069324,0.0
FEROZ,0.012867647058823529,0.012873772238352121,0.0
FFC,0.0055147058823529415,0.005428062266504052,0.0
FFL,0.014705882352941176,-0.000980846008491812,0.12683823529411764
FLYNG,0.04411764705882353,0.07127570874081912,0.025735294117647058
