symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
AKBL,2467,0.011755168220510741,3.1443104510236176e-05,0.1227716740797127,0.8055481265911415,6247.429191489848,True,3.243040848179243e-05,0.12944764863862013,0.8019179386946527,6099.102447061173,True,3.328295849630164e-05,0.12675652261855147,0.7995064658329831,6097.293902375926,True,0.0039848485388387644,0.0066759745589074215,False,
AKDHL,1110,0.055855855855855854,0.00011194342810962919,0.13127447257999603,0.7656955839148997,2262.3371753489037,True,0.00013471606114632387,0.2033158168493187,0.7165771454348071,2012.4349618719632,True,0.0002554207179346282,0.2385796268895217,0.566156934513015,2019.4299549483746,True,0.10730515430952567,0.07204134426932268,False,
AKDSL,1669,0.05632115038945476,2.9145805719488144e-05,0.09865635033654688,0.8893205872612295,2902.1391804941127,True,3.129904189602155e-05,0.11905513635773843,0.8809448636420611,2543.534591206514,True,3.131563551066203e-05,0.09973037994875612,0.8893368113007463,2542.459182803605,True,0.0010740296122092458,0.02039878602119155,False,
AKGL,948,0.12974683544303797,9.114860064027553e-05,0.1012299080316802,0.8568656481378867,1597.6397092295797,True,0.00010066825416553987,0.1581119376004954,0.8418880623994924,1168.2833295175883,True,0.0001474826863374498,0.1510492906810999,0.8008878761354181,1177.6556923269845,True,0.04981938264941971,0.05688202956881522,False,
ALAC,1540,0.03961038961038961,7.573819372982268e-05,0.10509361680787849,0.8640177159301011,2610.2733207663114,True,8.640559049936244e-05,0.13500076758034163,0.8444494284834645,2381.771779107087,True,0.00011350806674980285,0.13156064108258775,0.826469094660931,2385.735027549422,True,0.02646702427470926,0.029907150772463142,False,
ALIFE,989,0.030333670374115267,0.00010569151513435378,0.13066133782511666,0.7842229291561267,1948.3716322794985,True,0.00010142737192211118,0.1539919502384905,0.7804204210936321,1827.6960527586634,True,0.00012442235145931652,0.15037395207249846,0.7569571901318165,1828.0009363949052,True,0.0197126142473818,0.023330612413373836,False,
ALNRS,1473,0.10454854039375425,1.981662753670137e-05,0.05393044209047379,0.9321400053648625,2794.9613825692013,True,2.271994179890021e-05,0.07867719476074723,0.9213228052390057,2211.0667548863134,True,2.2282000685865164e-05,0.061046566703353705,0.926429965348015,2219.6069401049767,True,0.007116124612879915,0.024746752670273445,False,
ALTN,1986,0.04934541792547835,8.133855893334283e-05,0.15048069653286722,0.7461092807023255,4414.081732042812,True,7.736336550218211e-05,0.19145977271132525,0.7435529894940172,3995.9528974285713,True,0.00010283025566450369,0.18939785300279072,0.6967350768143266,4005.5895452821906,True,0.0389171564699235,0.04097907617845803,False,
AMBL,1271,0.06923682140047208,8.653460425552045e-05,0.1317644078384742,0.8400352187866232,2044.108478998946,True,0.00019276090183652976,0.23447106799446615,0.7423044830573158,1728.0985581093232,True,0.00022316678037499266,0.19861098009518197,0.7363969956547081,1728.1346373161937,True,0.06684657225670776,0.10270666015599195,False,
AMTEX,1425,0.005614035087719298,0.00021157022680419604,0.29221875436723566,0.7077812452988109,2290.533974154806,True,0.0002171032303880144,0.29618577235900867,0.7038142276399677,2271.527109674132,True,0.00023165491362167937,0.29823350890049644,0.6942523716022959,2263.7861248649856,True,0.00601475453326078,0.003967017991773014,True,
