symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
AKGL,948,0.12974683544303797,0.26787365142651454,0.7321263485734854,3.1728612473724516,True,0.26847621634318897,3.0049697385108134,True,0.18636456315746094,0.8136354368335377,2.0500000000000185,True,-0.08150908826905359,0.0006025649166744307,True,
ALAC,1540,0.03961038961038961,0.2432475984850998,0.744728607010389,4.181359041403057,True,0.3945238647135315,3.392337523937626,True,0.396449028519846,0.5381009401629864,3.1399086164505046,True,0.15320143003474618,0.1512762662284317,False,
ALIFE,989,0.030333670374115267,0.2031000863735256,0.7572054284395149,5.576233100788151,True,0.2679668539277564,3.934982946048634,True,0.24326964095614678,0.6966577717773315,4.012487583094461,True,0.04016955458262117,0.06486676755423076,False,
ALNRS,1473,0.10454854039375425,0.06611572232775968,0.9221963608741525,24.223887360025483,True,0.2413910565232194,4.990301949736562,True,0.06972461061204913,0.9302753893879503,2.410235784193845,True,0.0036088882842894437,0.1752753341954597,True,
ALTN,1986,0.04934541792547835,0.3023680584623325,0.6772274816456967,4.522324206210465,True,0.37514344009255235,3.5844650559670908,True,0.3268513682653579,0.6303663183186502,3.173288463310138,True,0.024483309803025377,0.07277538163021985,False,
AMBL,1271,0.06923682140047208,0.16567005638864712,0.8343299436113496,9.694601969828419,True,0.29272991280215765,5.024317447738504,True,0.16468242894415103,0.835317571055848,3.8356152555860366,True,-0.0009876274444960975,0.12705985641351053,True,
AMTEX,1425,0.005614035087719298,0.3457595952459731,0.654240404754018,2.950324663013686,True,0.34973320100136934,2.958120720124212,True,0.365581056193902,0.5281737085163927,3.067908605519548,True,0.019821460947928915,0.003973605755396237,True,
ANL,2476,0.029079159935379646,0.2278565645969159,0.7198532933880106,5.196165663765006,True,0.2985571985746212,3.8068647264203466,True,0.2213502541468365,0.7079551014837946,3.990853863944883,True,-0.006506310450079378,0.07070063397770532,False,
ANSM,1029,0.13022351797862003,0.23774721411412764,0.703731275802661,9.231497459286153,True,0.38980462006396466,5.153697354954992,True,0.37602929525140616,0.5727760048589419,3.4488513005702135,True,0.13828208113727852,0.15205740594983702,False,
ANTM,718,0.12395543175487465,0.18474668971206895,0.5824358834065881,199.99999995140382,True,0.6084387961825377,3.320797812657099,True,0.37277723406086755,0.533619571024694,2.271467033637314,True,0.1880305443487986,0.42369210647046873,True,
APL,2468,0.007293354943273906,0.30185625450874054,0.6216562065497497,3.4231022551526187,True,0.34193625133127625,3.164921389477598,True,0.3003418516591304,0.580576370380313,3.3922919183542977,True,-0.0015144028496101303,0.04007999682253571,False,
ARCTM,1292,0.12616099071207432,0.3713092155905368,0.6286907844094585,19.336154165886647,True,0.5600983623367004,3.887884497107727,True,0.2812366690697812,0.11381339231138382,8.140680051010705,True,-0.09007254652075564,0.1887891467461636,True,
ARPL,2374,0.011794439764111205,0.46312735459762,0.4903282376618656,2.681174738278984,True,0.5398523687343195,2.5504074105949774,True,0.4542576893967887,0.31566455044430786,2.6383916599179456,True,-0.008869665200831323,0.07672501413669952,False,
ARUJ,1204,0.16196013289036545,0.18813283602693803,0.7724602034829443,39.16152013358066,True,0.3681730647528933,5.34244286700972,True,0.3040899132576158,0.6395073275630662,3.233396547603899,True,0.11595707723067777,0.18004022872595526,False,
ASC,2473,0.034775576223210675,0.2640601076011365,0.6433039303267973,4.42922519102207,True,0.39266697763387826,3.1655118086112566,True,0.3023532448716951,0.5255307178077391,3.285731472572161,True,0.03829313727055861,0.12860687003274174,False,
ASHT,1140,0.1631578947368421,0.22637060909425297,0.7467971739187337,10.694136588982259,True,0.42444428915702154,4.516325818210632,True,0.2095767793515378,0.7894995538782839,2.250523735633775,True,-0.016793829742715177,0.19807368006276857,True,
ASL,2476,0.023021001615508886,0.12856115129449705,0.7827419313917587,6.747016626439677,True,0.1617687967470545,4.69763484962437,True,0.13995098047632928,0.7541496785759428,4.787103014175985,True,0.011389829181832234,0.033207645452557444,False,
ASTL,2471,0.04734925131525698,0.18619768455318408,0.750908551352938,7.1837305536630875,True,0.3015996602384463,3.989174068933078,True,0.22629104928067217,0.6762503378633824,4.080165481270587,True,0.04009336472748809,0.11540197568526223,False,
ASTM,2016,0.10615079365079365,0.1568450379804745,0.772227062089632,40.165828752263806,True,0.3675544209486709,5.548337107076828,True,0.3166649086670483,0.6255201527918715,3.8383883145359468,True,0.15981987068657377,0.2107093829681964,False,
ATBA,2402,0.06411323896752706,0.33174931489541876,0.6682506851045542,3.3266257130333896,True,0.3819081878885055,2.931278850384079,True,0.2980849637851136,0.5794275486765742,2.62018575624911,True,-0.033664351110305135,0.050158872993086745,True,
ATIL,1961,0.01631820499745028,0.2569804345230265,0.7430184648854252,3.5333216068627493,True,0.30095481784550104,3.299775577985521,True,0.25951973534710104,0.7404802646520645,3.0334161379430293,True,0.002539300824074553,0.04397438332247455,True,
ATLH,2167,0.014766958929395477,0.3206064801281717,0.6793935198718222,3.029126963262412,True,0.3595726560541789,2.886839018436268,True,0.32359267694412813,0.6728192636218244,2.9335283952036892,True,0.00298619681595641,0.03896617592600715,True,
ATRL,2471,0.04330230675839741,0.17704148026924937,0.814210749141909,5.78867172898323,True,0.22805896280689514,4.112402801176481,True,0.18094389566495198,0.801334964731419,3.718307492526456,True,0.003902415395702602,0.051017482537645764,False,
AVN,2465,0.05354969574036511,0.1871256799351817,0.8075292353277201,5.568693415122533,True,0.2542868138677923,4.045255876508341,True,0.19998482004755658,0.7712350605947965,3.776175061718723,True,0.012859140112374878,0.06716113393261058,False,
