dist,L,seed,censor_rate,alpha_naive,alpha_partial,alpha_latent
normal,0.04,29,0.0472,0.10176158859090001,0.13459972786518398,0.12078835720232885
normal,0.04,30,0.042,0.13496148811465436,0.1742179256895191,0.1575129859144623
normal,0.04,31,0.0648,0.12834006603843062,0.17942514783931413,0.15422600743802017
normal,0.04,32,0.0476,0.11423841987011146,0.1564547869381787,0.13921348026612113
normal,0.04,33,0.0404,0.13107007174994276,0.17027184495072395,0.15467378270175836
normal,0.04,34,0.0464,0.15162751728245505,0.19476268504397848,0.17319393465895966
normal,0.04,35,0.0344,0.1243334466327507,0.1553391059378722,0.14241300879900975
normal,0.04,36,0.0404,0.1520687452796865,0.19967230578961925,0.18179418511664508
normal,0.04,37,0.052,0.13060240864265998,0.18332196613469887,0.16784630827843044
normal,0.04,38,0.0432,0.13078236009152433,0.17684336245021512,0.15845267209484826
normal,0.04,39,0.0288,0.09871468034778103,0.11944645418436232,0.11081171949168833
normal,0.04,40,0.0536,0.10968681031538696,0.14933338136103586,0.12700047214253168
normal,0.04,41,0.0404,0.11049100841090535,0.1421547422977823,0.12529073000872998
normal,0.04,42,0.0444,0.13380080571732156,0.1716878829089047,0.15581974104464547
normal,0.04,43,0.0452,0.10610348404443667,0.14875611959743976,0.1239486263447567
normal,0.04,44,0.0476,0.14497377713485826,0.1942035578273769,0.1720990879300388
normal,0.04,45,0.0668,0.13264826184345574,0.1862699616748178,0.16736702274460963
normal,0.04,46,0.0356,0.12465294134408153,0.15959928558884537,0.13999614674897753
normal,0.04,47,0.046,0.13175759518698435,0.17907296252152294,0.15980244245673283
normal,0.04,48,0.0452,0.11936544029690319,0.16069807040579748,0.14330280629174824
normal,0.04,49,0.0572,0.12425560377225092,0.18099125990013556,0.16220307647747156
normal,0.03,0,0.1084,0.0984634403869542,0.1665986768130337,0.12775416773573234
normal,0.03,1,0.12,0.1356280310068092,0.22617268374758734,0.1856009128423423
normal,0.03,2,0.106,0.09473518702094824,0.17326521448746673,0.1312992284241491
normal,0.03,3,0.0968,0.09194120869038065,0.14934439932421764,0.11698410954523716
normal,0.03,4,0.1036,0.11998299359203868,0.20266766194769575,0.15547267322355537
normal,0.03,5,0.1236,0.09095723144792853,0.16736320365421298,0.1450595489839842
normal,0.03,6,0.1224,0.09584881275757468,0.1667296995469435,0.13580720243923172
normal,0.03,7,0.1048,0.09746388848247606,0.16610994948913133,0.12704213095784384
normal,0.03,8,0.136,0.09820031415484289,0.1973079320004013,0.15885655619358494
normal,0.03,9,0.1304,0.11991776809223512,0.2254376730570199,0.1831134050584089
normal,0.03,10,0.1084,0.10740370246909778,0.15535504032902514,0.15296786843146853
normal,0.03,11,0.1272,0.12084248561186865,0.21750003287880193,0.19128108142722977
normal,0.03,12,0.1116,0.09462194112091842,0.17315920257370837,0.1275088747819216
normal,0.03,13,0.1228,0.12408282616576671,0.2350575902291494,0.2026925276009377
normal,0.03,14,0.1028,0.09324409429695757,0.15118375110239213,0.1176059313631074
normal,0.03,15,0.1024,0.09954399945912464,0.16772430981374484,0.1355827790535823
normal,0.03,16,0.1288,0.1177756845341287,0.2001494852849917,0.16833171259242619
normal,0.03,17,0.1232,0.11254398574278192,0.20407994329890977,0.1697790126646001
normal,0.03,18,0.1236,0.13364478131869706,0.23510724430805377,0.18460137986786238
normal,0.03,19,0.1028,0.13693543655814505,0.2374710913802419,0.2030452124040088
normal,0.03,20,0.122,0.10038575971570396,0.1707606422380425,0.14134831186520058
normal,0.03,21,0.1088,0.13706386486688013,0.2281247180432951,0.19022416322378513
normal,0.03,22,0.098,0.11456284176297116,0.18951125068377528,0.16222492071688033
normal,0.03,23,0.1056,0.10583338305584679,0.17619594273479922,0.14065640381081296
normal,0.03,24,0.1144,0.10392150587465504,0.18532069903232706,0.15569309643535387
normal,0.03,25,0.1412,0.11049982304620395,0.15967449137169087,0.16178347562089684
normal,0.03,26,0.1356,0.11289830669767098,0.19708657042744637,0.1564543255029197
normal,0.03,27,0.134,0.1187240928879526,0.21506282428727624,0.19525513359159113
normal,0.03,28,0.0988,0.09889389019484109,0.16843293137084436,0.13492575880603025
normal,0.03,29,0.1244,0.09353382199430152,0.16716246698212955,0.12555183930410646
normal,0.03,30,0.0984,0.11935205143502191,0.19444304588476707,0.157580740261342
normal,0.03,31,0.1444,0.11242274402151263,0.1961464017642539,0.1646090449531767
normal,0.03,32,0.1164,0.09783467890436193,0.1752111615657283,0.13848686781167316
normal,0.03,33,0.0944,0.11432824500787005,0.18377298889312002,0.1532629931980638
normal,0.03,34,0.1144,0.13374937856538444,0.23215670195024812,0.18306570839895803
normal,0.03,35,0.0924,0.10681344248794394,0.18913255692002148,0.14850847944691883
normal,0.03,36,0.1052,0.12886841692086282,0.22818078894192684,0.1852675516065912
normal,0.03,37,0.1288,0.11430924151956089,0.220695052481639,0.16537311372786387
normal,0.03,38,0.106,0.11360813152744834,0.2034884480580152,0.17163565995182528
normal,0.03,39,0.1004,0.08958840977883831,0.15722337981110812,0.12013373947794631
normal,0.03,40,0.1356,0.09863437603996922,0.18311675403467498,0.13816524352875642
normal,0.03,41,0.1128,0.09913765094739191,0.16602259522107565,0.12693494443230308
normal,0.03,42,0.1232,0.12112376054709925,0.2195709195960574,0.1612702243528762
normal,0.03,43,0.112,0.09196368031285099,0.17308500969945434,0.12421341225237975
normal,0.03,44,0.1168,0.12672227358645524,0.21501310161011866,0.18504536843131514
normal,0.03,45,0.1416,0.11666424548628165,0.2070152460987513,0.16876805065698852
normal,0.03,46,0.0932,0.10606183696790138,0.18496714565267214,0.14539355082721295
normal,0.03,47,0.1144,0.11439181532578618,0.20602488536477725,0.1609028313592385
normal,0.03,48,0.1144,0.10482369785699411,0.18751054559722102,0.15319019511580956
normal,0.03,49,0.1376,0.10257069531958152,0.20026275322038567,0.1647548976649424
t,0.05,0,0.0188,0.16013532519442344,0.19364904120493748,0.16694042147076882
t,0.05,1,0.0268,0.146335704144767,0.20143886589536555,0.15756660197376499
t,0.05,2,0.0248,0.12684323381533,0.16215535860464353,0.1271544497759476
t,0.05,3,0.0292,0.1610282965179995,0.21552300417509024,0.17489532004918676
t,0.05,4,0.0228,0.195648475435969,0.24448023751697479,0.21362128900221583
t,0.05,5,0.0424,0.15160094147114897,0.19556614402541916,0.1684736797911927
t,0.05,6,0.0264,0.15214525859912625,0.19601323210333318,0.1591335431312247
t,0.05,7,0.0192,0.14198644902826563,0.16864584762983786,0.14567284193448643
t,0.05,8,0.0368,0.13960476413361625,0.18608580937858638,0.15030976891243011
t,0.05,9,0.0588,0.14319046660413104,0.18404348167039733,0.16975954761050255
t,0.05,10,0.0276,0.16354159965033013,0.20673300798489835,0.17216475879220117
t,0.05,11,0.0272,0.18170674619941052,0.23501591555967188,0.19314172507992253
t,0.05,12,0.018,0.16352463615572274,0.19073874582008488,0.16213365288945422
t,0.05,13,0.0248,0.15581112970634223,0.20372141700792173,0.17221121532852818
t,0.05,14,0.0224,0.13692749652062955,0.16828160098772338,0.13825345848549647
t,0.05,15,0.0168,0.1481825399763359,0.18229104977368288,0.17416763353024356
t,0.05,16,0.0412,0.1591299783627214,0.20306718964527387,0.1783979005432562
t,0.05,17,0.014,0.1881164377280034,0.21489029816227634,0.18880665462553486
t,0.05,18,0.0364,0.17006037094216012,0.22043269571257051,0.17225104771295724
t,0.05,19,0.0232,0.15367072492610057,0.19563655945766611,0.17612526085265573
t,0.05,20,0.0264,0.14843536429645238,0.19175531676901186,0.15030222362294787
t,0.05,21,0.0152,0.1265969329836581,0.149282174742226,0.13148496888939853
t,0.05,22,0.0152,0.15473579195682555,0.18013321108478342,0.15430827937155797
t,0.05,23,0.026,0.12775123282216583,0.16778002940924228,0.12542488519343414
t,0.05,24,0.0264,0.146691778304125,0.1879363681549362,0.14592835759848752
t,0.05,25,0.062,0.14012029312534519,0.186286215422461,0.19694040573890237
t,0.05,26,0.0216,0.15806290526726874,0.19705888483947995,0.1610034088667067
t,0.05,27,0.0236,0.177832716054596,0.2244109708402851,0.17944629481165975
t,0.05,28,0.022,0.13827448485434213,0.1732463043356251,0.1468089084587513
t,0.05,29,0.0268,0.14387412956658113,0.18446136370682753,0.15593859049024028
t,0.05,30,0.0224,0.168259143149184,0.20623938235310318,0.15727107968572718
t,0.05,31,0.0508,0.14867391733631027,0.1950485343827579,0.1842304099156214
t,0.05,32,0.0148,0.14641561273661707,0.1683356800573381,0.14230074746739071
t,0.05,33,0.0188,0.1405164772641227,0.16779149684477135,0.14130720652414225
t,0.05,34,0.0264,0.1539421928837909,0.19893119578000806,0.14599986095101325
t,0.05,35,0.0324,0.13019376537253197,0.16934224231132844,0.14956017145666595
t,0.05,36,0.0168,0.14609672609459312,0.1703400474937657,0.13593482109824823
t,0.05,37,0.0284,0.14920094492114824,0.1979584052573962,0.15813266599121398
t,0.05,38,0.0172,0.13572019509169153,0.16056026653450117,0.1393648249140162
t,0.05,39,0.0196,0.133360620318921,0.15806150951258333,0.13429235998082814
t,0.05,40,0.0216,0.14487630393968537,0.17945179495573502,0.14806979977972878
t,0.05,41,0.0212,0.1432589681194513,0.17372949635192092,0.14733058024242257
t,0.05,42,0.0244,0.16940945389351753,0.21499125285120985,0.18659263444717356
t,0.05,43,0.0232,0.12361750434042637,0.15041109050704704,0.126050218607014
