symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error,regime
ABOT,1017,0.00688298918387414,8.766695764250593e-06,0.06848978469601304,0.9059656248283614,2697.992842631301,True,8.814134375890949e-06,0.07413365987844847,0.9023851855801746,2661.856372813715,True,9.021816846994823e-06,0.07089429910708353,0.9035791561269757,2661.249664507114,True,0.0024045144110704936,0.005643875182435434,False,,7.5%
ABOT,544,0.009191176470588236,0.00012108428895461299,0.19162686358573094,0.5655136766432145,1332.9546267368864,True,0.00013017675070871684,0.20752683559572355,0.541998794621678,1306.8930520640495,True,0.00013931420901788842,0.20646650490451796,0.5204092047772714,1306.7590853499098,True,0.014839641318787011,0.015899972009992602,False,,10.0%
ACPL,805,0.040993788819875775,7.673360277613558e-05,0.17973498194439733,0.664221426101245,1967.5742488888404,True,7.271930560418591e-05,0.2196581568037596,0.6673021082033218,1815.334771899543,True,8.019611399336797e-05,0.1963992256573316,0.6569808596627811,1815.26957474245,True,0.016664243712934262,0.03992317485936228,False,,5.0%
ACPL,1032,0.014534883720930232,9.56051120419032e-05,0.16573954813730518,0.6494328155258424,2480.5199937381567,True,0.00010220929888854478,0.19837348331744295,0.6202636245278456,2412.3879319985076,True,0.00010253010811324089,0.1871351630453979,0.6240196118092318,2412.5964958666004,True,0.02139561490809272,0.03263393518013777,False,,7.5%
ACPL,544,0.022058823529411766,1.2717129969836522e-05,0.1327538376136034,0.8564374939828783,1309.0726963555762,True,1.2168119094240518e-05,0.149462448874645,0.8505375510930637,1262.4647564519896,True,1.296202045068047e-05,0.1404986046686405,0.8513838025533162,1263.033944097378,True,0.0077447670550370995,0.01670861126104159,False,,10.0%
ADAMS,718,0.14623955431754876,0.00011560548935410702,0.11513646178938741,0.7687849987355873,1474.921161449735,True,0.00016648474502229988,0.2243021131261509,0.7086459839409622,1050.9420887448528,True,0.00015652068450713134,0.129102131021648,0.7543886924710761,1051.4617436734034,True,0.013965669232260586,0.10916565133676348,False,,5.0%
ADAMS,753,0.04648074369189907,0.00028451256717068694,0.1775564288277594,0.5732077382961329,1501.720689528549,True,0.00030865951464757973,0.2439485882455258,0.5368850006960926,1356.963957403382,True,0.00034458597326765354,0.2266301887557901,0.5046816596209391,1359.0361283829827,True,0.0490737599280307,0.06639215941776638,False,,7.5%
ADAMS,538,0.007434944237918215,0.0003196138223356472,0.1409713383798904,0.4678376143293096,1161.2235852978088,True,0.00031973147933497554,0.1485255333613268,0.4691641232422246,1142.2584529332755,True,0.00031953129792534137,0.14488850278944895,0.47101155863285704,1142.4543674751667,True,0.0039171644095585545,0.007554194981436391,False,,10.0%
ADMM,477,0.1069182389937107,4.061946660376203e-05,0.09877309419713201,0.8501534248913102,1042.5060371066986,True,3.300250190302757e-05,0.15930001456240228,0.8406999854375148,830.816729716788,True,5.7667172055828334e-05,0.1245356086670841,0.8181389211669844,829.7043798262197,True,0.02576251446995209,0.06052692036527027,False,,5.0%
ADMM,892,0.043721973094170405,3.757695843597617e-05,0.11026994987292116,0.8372176324958291,2016.2507457422755,True,4.515310864294866e-05,0.1498070869355564,0.8088557369564393,1842.789865664331,True,5.728584011543862e-05,0.14113440613294648,0.7883833999214489,1842.68093324974,True,0.03086445626002532,0.03953713706263523,False,,7.5%
ADMM,544,0.04779411764705882,0.00011139787392624545,0.20590405000058112,0.6905170241490874,1161.7100699944303,True,0.00010654547801911701,0.31071501648111854,0.6592556960768492,1059.0712621012383,True,0.00013147549716232572,0.2833421472733707,0.6303259887053508,1064.5105771437977,True,0.07743809727278958,0.10481096648053742,False,,10.0%
ADOS,412,0.29854368932038833,0.00020705418001414535,0.21375834317479056,0.6391422544887178,777.8607590296449,True,0.00020536594868884726,0.2868137196555026,0.7131862803444509,333.51504696065854,True,0.001053637762787833,0.6321061112733187,0.07563214405505816,346.99964047091635,True,0.41834776809852814,0.07305537648071206,False,,5.0%
ADOS,492,0.11382113821138211,0.0002896197588494183,0.22621346177345988,0.5979927172569451,897.3797828783545,True,0.00038462213222715234,0.44088872028861725,0.48629308045925107,686.5584158020023,True,0.0004745720668459958,0.3260472333343266,0.4606439975538185,687.8924454832194,True,0.09983377156086673,0.21467525851515737,False,,7.5%
AGHA,881,0.011350737797956867,2.9867307074589996e-05,0.08081277365781933,0.8757616739726579,2018.5256556561772,True,2.862111430013645e-05,0.08450172666014993,0.8774191714038205,1970.2993596859383,True,3.112310169074871e-05,0.08089812757216447,0.874933488472037,1970.0253686656474,True,8.535391434513762e-05,0.0036889530023306027,False,,7.5%
